sender_name,sender_dni,sender_phone,sender_email,sender_street,sender_city,sender_province,sender_postal_code,recipient_name,recipient_dni,recipient_phone,recipient_email,recipient_street,recipient_city,recipient_province,recipient_postal_code,weight_kg,package_type,shipment_type,time_window,delivery_method,is_fragile,special_instructions,receiving_branch_id,recipient_latitude,recipient_longitude
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Sandra Molina","31215544","541166665599","sandra.m@trabajo.com","Estados Unidos 1900","Ciudad de Buenos Aires","Buenos Aires","C1101","30","box","normal","afternoon","ultima_milla","false","","cordoba","-34.6212","-58.3993"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Luciana Paredes","26448800","543514778822","","Bv. Illia 700","Córdoba","Córdoba","X5000","2.5","envelope","normal","morning","ultima_milla","false","","cordoba","-31.4232","-64.1812"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Mario Benítez","29559911","543514889933","mario.b@gmail.com","Deán Funes 1200","Córdoba","Córdoba","X5000","3.0","box","normal","flexible","ultima_milla","false","","cordoba","-31.4095","-64.1873"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Vanesa Cáceres","27660022","543514001144","","Laprida 1100","Córdoba","Córdoba","X5000","4.5","box","normal","afternoon","ultima_milla","false","","cordoba","-31.4155","-64.1935"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Ramón Flores","31771133","543514112255","ramon.f@empresa.com","Caseros 1500","Córdoba","Córdoba","X5000","2.0","envelope","express","morning","ultima_milla","false","","cordoba","-31.4088","-64.1934"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Irene Bustos","24882244","543514223366","","Marcelo T. de Alvear 400","Córdoba","Córdoba","X5000","1.8","envelope","normal","flexible","ultima_milla","false","","cordoba","-31.4142","-64.1901"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Oscar Pereyra","28993355","543514334477","oscar.p@gmail.com","Buenos Aires 1300","Córdoba","Córdoba","X5000","5.0","box","normal","morning","ultima_milla","false","","cordoba","-31.4198","-64.1856"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Miriam Gallardo","26104466","543514445588","","Lima 700","Córdoba","Córdoba","X5000","3.5","box","normal","flexible","ultima_milla","false","","cordoba","-31.4225","-64.1779"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Cristian Álvarez","29215577","543514556699","cristian.a@empresa.com","Av. Colón 800","Córdoba","Córdoba","X5000","2.2","envelope","normal","afternoon","ultima_milla","false","","cordoba","-31.4120","-64.1895"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Rosana Medina","27326688","543514667700","","Av. Rafael Núñez 3200","Córdoba","Córdoba","X5000","4.0","box","normal","flexible","ultima_milla","false","","cordoba","-31.3935","-64.1915"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Leandro Soria","31437799","543514778811","leandro.s@gmail.com","Rodríguez del Busto 2100","Córdoba","Córdoba","X5000","6.0","box","express","morning","ultima_milla","true","Frágil — cristalería","cordoba","-31.3892","-64.2156"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Elisa Coria","24548800","543514889922","","Jorge Newbery 1800","Córdoba","Córdoba","X5000","3.0","box","normal","morning","ultima_milla","false","","cordoba","-31.4412","-64.2086"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Nicolás Ríos","28659911","543514001033","nicolas.r@trabajo.com","Av. Donato Álvarez 700","Córdoba","Córdoba","X5000","2.8","envelope","normal","flexible","ultima_milla","false","","cordoba","-31.4335","-64.2168"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Daniela Figueroa","26760022","543514112144","","Av. Patria 990","Córdoba","Córdoba","X5000","4.2","box","normal","afternoon","ultima_milla","false","","cordoba","-31.4255","-64.1762"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Federico Molina","29871133","543514223255","federico.m@empresa.com","Obispo Trejo 220","Córdoba","Córdoba","X5000","3.5","box","normal","flexible","ultima_milla","false","","cordoba","-31.4172","-64.1855"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Analía Segura","27982244","543514334366","analia.s@gmail.com","Independencia 700","Córdoba","Córdoba","X5000","2.0","envelope","normal","morning","ultima_milla","false","","cordoba","-31.4208","-64.1833"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Horacio Blanco","25093355","543514445477","","Naciones Unidas 346","Córdoba","Córdoba","X5016","5.5","box","express","morning","ultima_milla","false","Medicamentos — entregar en mano","cordoba","-31.4292","-64.1938"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Lorena Aguilar","29204466","543514556588","lorena.a@empresa.com","Av. Vélez Sársfield 1400","Córdoba","Córdoba","X5000","3.0","box","normal","flexible","ultima_milla","false","","cordoba","-31.4325","-64.1978"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Rubén Córdoba","27315577","543514667699","","9 de Julio 800","Córdoba","Córdoba","X5000","4.5","box","normal","afternoon","ultima_milla","false","","cordoba","-31.4195","-64.1852"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Graciela Ibáñez","31426688","543514778800","graciela.i@gmail.com","Bv. San Juan 540","Córdoba","Córdoba","X5000","2.5","envelope","normal","morning","ultima_milla","false","","cordoba","-31.4135","-64.1811"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Sebastián Páez","24537799","543514889911","","Hipólito Yrigoyen 500","Córdoba","Córdoba","X5000","6.0","box","normal","flexible","ultima_milla","false","","cordoba","-31.4148","-64.1862"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Mirta Carrizo","28648800","542614334411","","Las Heras 980","Mendoza","Mendoza","M5500","12","box","normal","flexible","ultima_milla","false","","cordoba","-32.8858","-68.8308"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Pablo Quiroga","26759911","542614445522","pablo.q@gmail.com","Av. España 900","Mendoza","Mendoza","M5500","10","box","normal","morning","ultima_milla","false","","cordoba","-32.8938","-68.8423"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Silvia Godoy","29860022","542614556633","","Rivadavia 2100","Mendoza","Mendoza","M5500","14","box","express","morning","ultima_milla","false","","cordoba","-32.8905","-68.8241"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Julio Navarro","27971133","542614667744","julio.n@empresa.com","Granaderos 800","Mendoza","Mendoza","M5500","11","box","normal","flexible","ultima_milla","false","","cordoba","-32.8785","-68.8220"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Carla Guzmán","31082244","542614778855","","Montecaseros 1500","Mendoza","Mendoza","M5500","15","box","normal","afternoon","ultima_milla","false","","cordoba","-32.8867","-68.8189"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Alejandro Fierro","24193355","542614889966","alejandro.f@gmail.com","San Lorenzo 700","Mendoza","Mendoza","M5500","13","box","normal","flexible","ultima_milla","false","","cordoba","-32.8978","-68.8292"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Andrea Robles","28204466","543754001133","","Av. Mitre 1600","Posadas","Misiones","N3300","20","box","express","morning","ultima_milla","false","","cordoba","-27.3671","-55.8920"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Ernesto Dos Santos","26315577","543754112244","ernesto.d@empresa.com","Junín 800","Posadas","Misiones","N3300","18","box","express","morning","ultima_milla","false","","cordoba","-27.3735","-55.8842"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Cristina Yambay","29426688","543754223355","","San Martín 1200","Posadas","Misiones","N3300","22","box","express","flexible","ultima_milla","false","","cordoba","-27.3789","-55.8963"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Gustavo Alegre","27537799","543754334466","gustavo.a@gmail.com","Córdoba 900","Posadas","Misiones","N3300","16","box","express","morning","ultima_milla","false","","cordoba","-27.3612","-55.8987"
